hip,proper,ra,dec,mag,dist,spect,ci,con,bayer
93148,,18.974378,-52.938629,4.85,187.6173,A0V,-0.051,Tel,Lam
93163,,18.976812,-60.20055,5.14,172.7116,K1III-IV,1.355,Pav,Ome
93174,,18.978721,-37.107357,4.83,30.1841,F3IV/V,0.396,CrA,Eps
93177,,18.979608,40.679194,6.2,300.3003,B3V,-0.146,Lyr,
93179,,18.979701,13.906648,5.91,78.3699,F0spe...,0.251,Aql,
93194,Sulafat,18.982395,32.689557,3.25,190.1141,B9III,-0.049,Lyr,Gam
93197,,18.983166,50.809143,6.32,131.7523,G8III,0.979,Dra,
93203,,18.984928,13.622245,5.27,48.4262,F8V,0.573,Aql,
93209,,18.986379,-39.534712,6.49,152.9052,B9.5V,-0.04,CrA,
93210,,18.986748,39.217321,6.43,292.3977,B5IV,-0.168,Lyr,
93225,,18.989945,-12.840517,5.51,146.1988,B4V,-0.038,Sgr,
93234,,18.990772,-18.566433,6.37,334.4482,G5/G6II,0.962,Sgr,
93238,,18.991465,-70.468653,6.49,103.6269,A8V,0.305,Pav,
93244,,18.993711,15.068298,4.02,47.5059,K2III,1.082,Aql,Eps
93256,,18.995966,26.230404,5.26,99.2063,K2III,1.228,Lyr,
93270,,18.999475,22.814515,6.28,215.9827,M4III,1.672,Vul,
93279,,19.000229,32.145514,4.94,338.9831,K3III,1.465,Lyr,Lam
93287,,19.000987,-66.653618,5.98,136.0544,K0III,0.977,Pav,
93299,,19.003799,50.533466,5.39,205.7613,B2.5IV,-0.182,Dra,
93315,,19.006892,-24.942171,6.35,181.8182,K0III,1.253,Sgr,
93340,,19.012072,55.658301,5.51,150.8296,G5IIbCN...,0.862,Dra,
93354,,19.015334,33.802158,6.04,118.2033,K0III:,0.983,Lyr,
93371,,19.017861,-37.061555,6.44,234.7418,B9.5IV:,0.02,CrA,
93374,,19.018176,19.309605,6.47,129.8701,K1III,1.114,Sge,
93393,,19.021488,26.291411,5.69,199.2032,B5V,-0.086,Lyr,
93408,,19.023991,46.934812,5.0,37.4392,A7V,0.186,Lyr,
93418,,19.025977,-15.282617,6.31,164.7446,K0III,0.963,Sgr,
93423,,19.02715,-22.695364,6.25,621.118,K3III,1.647,Sgr,
93429,,19.028008,-5.739115,4.02,44.1306,K1IIIvar,1.079,Aql,
93437,,19.030103,33.621257,6.39,260.4167,B5IV,-0.117,Lyr,
93443,,19.030397,22.264412,6.44,123.7624,A4V,0.13,Vul,
